,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions,City
292,2014,128,,,,,,317.0,310.0,666.0,307.0,356.0,666.0,195.0,112.0,Sydney - Sutherland,142591.5,869.0,357.0,483.0,356936.1,74702.6,139642.0,Sydney - Sutherland,,,,,,,,,0.473,64407.0,81290.0,9845.0,52504.0,3196.0,508.0,1,866000.0,2294.0,552000.0,2264.0,Sydney
298,2014,206,,,,,,4162.0,11303.0,11934.0,4040.0,631.0,12043.0,664.0,3376.0,Melbourne - Inner,4327396.5,16582.0,585.0,15766.0,5227196.0,582632.0,317167.4,Melbourne - Inner,,,,,,,,,0.518,63109.0,73094.0,15762.0,49454.0,3323.0,460.0,2,875000.0,5504.0,511000.0,10239.0,Melbourne
299,2014,207,,,,,,1496.0,2309.0,3352.0,1478.0,1043.0,3360.0,850.0,628.0,Melbourne - Inner East,964620.5,4804.0,1125.0,3609.0,1877820.2,272019.2,641180.5,Melbourne - Inner East,,,,,,,,,0.557,66564.0,46295.0,18721.0,47376.0,3077.0,1387.0,2,1060000.0,5018.0,592000.0,2807.0,Melbourne
300,2014,208,,,,,,1198.0,1973.0,2800.0,1173.0,827.0,2805.0,645.0,529.0,Melbourne - Inner South,957544.2,4455.0,1041.0,3300.0,1838995.8,333199.8,548251.9,Melbourne - Inner South,,,,,,,,,0.53,67454.0,54685.0,18439.0,50000.0,2973.0,942.0,2,925000.0,5236.0,549475.0,4214.0,Melbourne
301,2014,209,,,,,,1179.0,1510.0,4563.0,1147.0,3053.0,4637.0,875.0,271.0,Melbourne - North East,535064.5,6325.0,3663.0,2653.0,1573184.5,114560.9,923559.0,Melbourne - North East,,,,,,,,,0.438,53079.0,29671.0,7104.0,45730.0,2405.0,321.0,2,501298.0,6329.0,400000.0,2086.0,Melbourne
302,2014,210,,,,,,884.0,1316.0,3676.0,867.0,2360.0,3702.0,626.0,241.0,Melbourne - North West,263455.5,4351.0,2925.0,1406.0,1080639.1,57403.7,759779.9,Melbourne - North West,,,,,,,,,0.429,51113.0,28154.0,6450.0,45004.0,2642.0,252.0,2,435125.0,4920.0,367750.0,1296.0,Melbourne
303,2014,211,,,,,,837.0,1257.0,2857.0,818.0,1600.0,2861.0,535.0,283.0,Melbourne - Outer East,300452.6,3008.0,1596.0,1384.0,903080.6,137472.0,465156.0,Melbourne - Outer East,,,,,,,,,0.444,52942.0,27361.0,7397.0,45386.0,2194.0,344.0,2,545550.0,7456.0,415000.0,2221.0,Melbourne
304,2014,212,,,,,,1770.0,1872.0,6939.0,1749.0,5067.0,6954.0,1352.0,398.0,Melbourne - South East,467631.4,8035.0,5722.0,2268.0,2127360.8,94089.1,1565640.2,Melbourne - South East,,,,,,,,,0.431,48937.0,30109.0,6073.0,43305.0,2573.0,237.0,2,452500.0,10759.0,365000.0,2839.0,Melbourne
370,2015,116,,,,,,816.0,946.0,3433.0,804.0,2487.0,3450.0,650.0,154.0,Sydney - Blacktown,384994.3,4591.0,2839.0,1728.0,1176643.2,33470.7,758178.2,Sydney - Blacktown,,,,,,,,,0.389,54306.0,35384.0,1589.0,49908.0,3968.0,130.0,1,618000.0,4800.0,469039.0,1488.0,Sydney
371,2015,117,,,,,,2012.0,5964.0,6080.0,1975.0,116.0,6081.0,121.0,1854.0,Sydney - City and Inner South,2773498.5,7225.0,85.0,6921.0,3004876.0,204092.9,27284.7,Sydney - City and Inner South,,,,,,,,,0.508,64059.0,88096.0,9836.0,49669.0,3922.0,265.0,1,1200000.0,1767.0,735000.0,6765.0,Sydney
